reference_sequence_name	code	database	original_taxonomic_assignation
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_NodulariaPCC9350_HF678498	HF678498	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Nodularia
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_NodulariaPCC9350_KC912780	KC912780	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Nodularia
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_NodulariaPCC9350_KM020015	KM020015	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Nodularia
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_NostocPCC7107_CP003548	CP003548	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Nostoc
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_NostocPCC7107_CP012036	CP012036	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Nostoc
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_NostocPCC7107_DQ185208	DQ185208	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Nostoc
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_NostocPCC7107_GU396091	GU396091	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Nostoc
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_NostocPCC7107_KJ566946	KJ566946	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Nostoc
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_NostocPCC7107_KM273089	KM273089	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Nostoc
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_NostocPCC7524_AB325908	AB325908	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Nostoc
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_NostocPCC7524_AM711541	AM711541	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Nostoc
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_NostocPCC7524_AP017295	AP017295	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Nostoc
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_NostocPCC7524_DI247852	DI247852	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Nostoc
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_NostocPCC7524_EF088340	EF088340	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Nostoc
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_NostocPCC7524_EF467481	EF467481	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Nostoc
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_NostocPCC7524_KR137584	KR137584	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Nostoc
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_NostocPCC8976_KT763390	KT763390	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Nostoc
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_NostocPCC73102_AJ630449	AJ630449	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Nostoc
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_NostocPCC73102_AY493595	AY493595	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Nostoc
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_NostocPCC73102_DQ185232	DQ185232	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Nostoc
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_NostocPCC73102_DQ185252	DQ185252	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Nostoc
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_NostocPCC73102_EF174207	EF174207	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Nostoc
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_NostocPCC73102_EF174228	EF174228	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Nostoc
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_NostocPCC73102_EU022709	EU022709	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Nostoc
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_NostocPCC73102_FJ815312	FJ815312	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Nostoc
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_NostocPCC73102_FJ815318	FJ815318	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Nostoc
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_NostocPCC73102_GQ287652	GQ287652	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Nostoc
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_NostocPCC73102_HF678487	HF678487	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Nostoc
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_NostocPCC73102_JN847344	JN847344	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Nostoc
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_NostocPCC73102_JQ007752	JQ007752	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Nostoc
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_NostocPCC73102_JQ007784	JQ007784	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Nostoc
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_NostocPCC73102_KC463684	KC463684	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Nostoc
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_NostocPCC73102_KF037277	KF037277	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Nostoc
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_NostocPCC73102_KF359691	KF359691	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Nostoc
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_NostocPCC73102_KF359708	KF359708	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Nostoc
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_NostocPCC73102_KF359718	KF359718	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Nostoc
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_NostocPCC73102_KF704322	KF704322	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Nostoc
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_NostocPCC73102_KM019927	KM019927	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Nostoc
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_PetalonemaANTLG28_KF037366	KF037366	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Petalonema
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_PhyllonemaCENA325_KT731146	KT731146	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Phyllonema
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_RicheliaHH01_CBZS010000688	CBZS010000688	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Richelia
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_RicheliaHH01_KM982561	KM982561	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Richelia
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_RivulariaPCC7116_EU009142	EU009142	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Rivularia
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_RivulariaPCC7116_FJ660977	FJ660977	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Rivularia
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_RivulariaPCC7116_FJ660993	FJ660993	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Rivularia
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_RivulariaPCC7116_JQ515527	JQ515527	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Rivularia
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_RivulariaPCC7116_KM982558	KM982558	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Rivularia
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_RivulariaPCC7116_KP890768	KP890768	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Rivularia
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_ScytonemaPCC7110_AB093483	AB093483	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Scytonema
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_ScytonemaPCC7110_AF132781	AF132781	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Scytonema
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_ScytonemaPCC7110_KF037817	KF037817	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Scytonema
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_ScytonemaUCFS16_HM629428	HM629428	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Scytonema
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_ScytonemaUCFS19_KF037381	KF037381	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Mastigocladopsis
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_ScytonemaUCFS19_KF037801	KF037801	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Scytonema
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_ScytonemaUTEX2349_ALWD01000061	ALWD01000061	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Scytonema
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_ScytonemaUTEX2349_KC463187	KC463187	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Scytonema
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_ScytonemaUTEX2349_KF037589	KF037589	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Scytonema
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_ScytonemaVB61278_KC682103	KC682103	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Scytonema
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_ScytonemaVB61278_KF037507	KF037507	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Scytonema
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_ScytonemaVB61278_KF037685	KF037685	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Scytonema
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_ScytonemaVB61278_KF037920	KF037920	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Scytonema
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_SphaerospermopsisBCCUSP55_FM177473	FM177473	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Sphaerospermopsis
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_SphaerospermopsisBCCUSP55_FN691915	FN691915	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Sphaerospermopsis
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_SphaerospermopsisBCCUSP55_GU434226	GU434226	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Sphaerospermopsis
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_StigonemaSAG4890_KJ786940	KJ786940	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Stigonema
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_TolypothrixIAMM259_HM235817	HM235817	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Tolypothrix
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_TolypothrixIAMM259_KP762337	KP762337	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Tolypothrix
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_TolypothrixPCC7601_AB074504	AB074504	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Tolypothrix
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_TolypothrixPCC7601_FJ661000	FJ661000	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Tolypothrix
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_TolypothrixPCC7601_KJ843310	KJ843310	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Tolypothrix
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_TolypothrixPCC7601_KR137578	KR137578	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Tolypothrix
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_TolypothrixPCC7601_KR137610	KR137610	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Tolypothrix
Bacteria_Oxyphotobacteria_Nostocales_Nostocaceae_TrichormusHINDAK20014_AJ630457	AJ630457	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocaceae;Trichormus
Bacteria_Oxyphotobacteria_Nostocales_Oscillatoriaceae_OscillatoriaPCC6304_EU246100	EU246100	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Oscillatoriaceae;Oscillatoria
Bacteria_Oxyphotobacteria_Nostocales_Oscillatoriaceae_OscillatoriaPCC6304_FJ152939	FJ152939	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Oscillatoriaceae;Oscillatoria
Bacteria_Oxyphotobacteria_Nostocales_Oscillatoriaceae_OscillatoriaPCC6304_HQ730084	HQ730084	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Oscillatoriaceae;Oscillatoria
Bacteria_Oxyphotobacteria_Nostocales_Oscillatoriaceae_OscillatoriaPCC6304_KF037804	KF037804	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Oscillatoriaceae;Oscillatoria
Bacteria_Oxyphotobacteria_Nostocales_Oscillatoriaceae_OscillatoriaPCC6304_KM982571	KM982571	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Oscillatoriaceae;Oscillatoria
Bacteria_Oxyphotobacteria_Nostocales_Oscillatoriaceae_OscillatoriaPCC6304_KP890764	KP890764	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Oscillatoriaceae;Oscillatoria
Bacteria_Oxyphotobacteria_Nostocales_Oscillatoriaceae_OscillatoriaPCC10802_KP793974	KP793974	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Oscillatoriaceae;Oscillatoria
Bacteria_Oxyphotobacteria_Nostocales_Oscillatoriaceae_PhormidiumETS05_CS159228	CS159228	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Oscillatoriaceae;Phormidium
Bacteria_Oxyphotobacteria_Nostocales_Oscillatoriaceae_PlanktothricoidesSR001_FM242394	FM242394	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Oscillatoriaceae;Planktothricoides
Bacteria_Oxyphotobacteria_Nostocales_Oscillatoriaceae_PlanktothricoidesSR001_JX521538	JX521538	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Oscillatoriaceae;Planktothricoides
Bacteria_Oxyphotobacteria_Nostocales_Paraspirulinaceae_ESFC1_ARCP01000039	ARCP01000039	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Paraspirulinaceae;ESFC-1
Bacteria_Oxyphotobacteria_Nostocales_Paraspirulinaceae_ESFC1_HQ832899	HQ832899	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Paraspirulinaceae;ESFC-1
Bacteria_Oxyphotobacteria_Nostocales_Paraspirulinaceae_HalospirulinaCCCBaja95Cl2_Y18791	Y18791	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Paraspirulinaceae;Halospirulina
Bacteria_Oxyphotobacteria_Nostocales_Paraspirulinaceae_SpirulinaCCCSnakePY85_AF445707	AF445707	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Paraspirulinaceae;Spirulina
Bacteria_Oxyphotobacteria_Nostocales_Paraspirulinaceae_SpirulinaCCCSnakePY85_JN430244	JN430244	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Paraspirulinaceae;Spirulina
Bacteria_Oxyphotobacteria_Nostocales_Paraspirulinaceae_SpirulinaDRTO552_KF179769	KF179769	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Paraspirulinaceae;Spirulina
Bacteria_Oxyphotobacteria_Nostocales_Paraspirulinaceae_SpirulinaP7_AF091109	AF091109	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Paraspirulinaceae;Spirulina
Bacteria_Oxyphotobacteria_Nostocales_Paraspirulinaceae_SpirulinaPCC6313_AB614538	AB614538	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Paraspirulinaceae;Spirulina
Bacteria_Oxyphotobacteria_Nostocales_Paraspirulinaceae_SpirulinaPCC6313_HF678507	HF678507	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Paraspirulinaceae;Spirulina
Bacteria_Oxyphotobacteria_Nostocales_Paraspirulinaceae_SpirulinaPCC9445_AB003166	AB003166	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Paraspirulinaceae;Spirulina
Bacteria_Oxyphotobacteria_Nostocales_Paraspirulinaceae_SpirulinaPCC9445_FJ826621	FJ826621	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Paraspirulinaceae;Spirulina
Bacteria_Oxyphotobacteria_Nostocales_Phormidiaceae_ArthrospiraPCC7345_DQ393282	DQ393282	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Phormidiaceae;Arthrospira
Bacteria_Oxyphotobacteria_Nostocales_Phormidiaceae_ArthrospiraPCC7345_FJ484850	FJ484850	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Phormidiaceae;Arthrospira
Bacteria_Oxyphotobacteria_Nostocales_Phormidiaceae_ArthrospiraPCC7345_FM242395	FM242395	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Phormidiaceae;Arthrospira
Bacteria_Oxyphotobacteria_Nostocales_Phormidiaceae_ArthrospiraPCC7345_FM242396	FM242396	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Phormidiaceae;Arthrospira
Bacteria_Oxyphotobacteria_Nostocales_Phormidiaceae_CephalothrixSAG7579_GQ397065	GQ397065	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Phormidiaceae;Cephalothrix
Bacteria_Oxyphotobacteria_Nostocales_Phormidiaceae_CephalothrixSAG7579_JQ814733	JQ814733	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Phormidiaceae;Cephalothrix
Bacteria_Oxyphotobacteria_Nostocales_Phormidiaceae_KamptonemaPCC6407_GQ396952	GQ396952	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Phormidiaceae;Kamptonema
Bacteria_Oxyphotobacteria_Nostocales_Phormidiaceae_KamptonemaPCC6407_KP890772	KP890772	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Phormidiaceae;Kamptonema
Bacteria_Oxyphotobacteria_Nostocales_Phormidiaceae_LyngbyaPCC7419_AAVU01000018	AAVU01000018	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Phormidiaceae;Lyngbya
Bacteria_Oxyphotobacteria_Nostocales_Phormidiaceae_LyngbyaPCC7419_GQ441216	GQ441216	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Phormidiaceae;Lyngbya
Bacteria_Oxyphotobacteria_Nostocales_Phormidiaceae_LyngbyaPCC7419_JX006095	JX006095	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Phormidiaceae;Arthrospira
Bacteria_Oxyphotobacteria_Nostocales_Phormidiaceae_MicrocoleusPCC9802_DQ521468	DQ521468	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Phormidiaceae;Microcoleus
Bacteria_Oxyphotobacteria_Nostocales_Phormidiaceae_MicrocoleusPCC9802_GQ324964	GQ324964	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Phormidiaceae;Microcoleus
Bacteria_Oxyphotobacteria_Nostocales_Phormidiaceae_MicrocoleusPCC9802_HM131966	HM131966	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Phormidiaceae;Microcoleus
Bacteria_Oxyphotobacteria_Nostocales_Phormidiaceae_MicrocoleusPCC9802_JX088083	JX088083	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Phormidiaceae;Microcoleus
Bacteria_Oxyphotobacteria_Nostocales_Phormidiaceae_MicrocoleusPCC9802_JX847029	JX847029	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Phormidiaceae;Microcoleus
Bacteria_Oxyphotobacteria_Nostocales_Phormidiaceae_MicrocoleusPCC9802_KF417639	KF417639	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Phormidiaceae;Microcoleus
Bacteria_Oxyphotobacteria_Nostocales_Phormidiaceae_MicrocoleusPCC9802_KM982587	KM982587	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Phormidiaceae;Microcoleus
Bacteria_Oxyphotobacteria_Nostocales_Phormidiaceae_PhormidiumIAMM71_AB003167	AB003167	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Phormidiaceae;Phormidium
Bacteria_Oxyphotobacteria_Nostocales_Phormidiaceae_PhormidiumIAMM71_JQ771627	JQ771627	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Phormidiaceae;Phormidium
Bacteria_Oxyphotobacteria_Nostocales_Phormidiaceae_PhormidiumIAMM71_KF037806	KF037806	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Phormidiaceae;Phormidium
Bacteria_Oxyphotobacteria_Nostocales_Phormidiaceae_Planktothrix_AB045913	AB045913	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Phormidiaceae;Planktothrix
Bacteria_Oxyphotobacteria_Nostocales_Phormidiaceae_Planktothrix_AB045966	AB045966	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Phormidiaceae;Planktothrix
Bacteria_Oxyphotobacteria_Nostocales_Phormidiaceae_Planktothrix_AB696294	AB696294	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Phormidiaceae;Planktothrix
Bacteria_Oxyphotobacteria_Nostocales_Phormidiaceae_Planktothrix_FJ184392	FJ184392	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Phormidiaceae;Planktothrix
Bacteria_Oxyphotobacteria_Nostocales_Phormidiaceae_Planktothrix_FJ612283	FJ612283	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Phormidiaceae;Planktothrix
Bacteria_Oxyphotobacteria_Nostocales_Phormidiaceae_Planktothrix_HM126903	HM126903	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Phormidiaceae;Planktothrix
Bacteria_Oxyphotobacteria_Nostocales_Phormidiaceae_Planktothrix_JF830220	JF830220	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Phormidiaceae;Planktothrix
Bacteria_Oxyphotobacteria_Nostocales_Phormidiaceae_TrichocoleusSAG2692_EF654080	EF654080	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Phormidiaceae;Trichocoleus
Bacteria_Oxyphotobacteria_Nostocales_Phormidiaceae_TrichocoleusSAG2692_JQ712883	JQ712883	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Phormidiaceae;Trichocoleus
Bacteria_Oxyphotobacteria_Nostocales_Phormidiaceae_TrichodesmiumIMS101_AB039015	AB039015	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Phormidiaceae;Trichodesmium
Bacteria_Oxyphotobacteria_Nostocales_Phormidiaceae_TrichodesmiumIMS101_AB863124	AB863124	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Phormidiaceae;Trichodesmium
Bacteria_Oxyphotobacteria_Nostocales_Phormidiaceae_TrichodesmiumIMS101_KM438188	KM438188	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Phormidiaceae;Trichodesmium
Bacteria_Oxyphotobacteria_Nostocales_Rubidibacteraceae_DactylococcopsisPCC8305_JN429807	JN429807	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Rubidibacteraceae;Dactylococcopsis
Bacteria_Oxyphotobacteria_Nostocales_Rubidibacteraceae_DactylococcopsisPCC8305_JN432099	JN432099	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Rubidibacteraceae;Dactylococcopsis
Bacteria_Oxyphotobacteria_Nostocales_Rubidibacteraceae_DactylococcopsisPCC8305_JN489882	JN489882	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Rubidibacteraceae;Dactylococcopsis
Bacteria_Oxyphotobacteria_Nostocales_Rubidibacteraceae_DactylococcopsisPCC8305_JN499278	JN499278	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Rubidibacteraceae;Dactylococcopsis
Bacteria_Oxyphotobacteria_Nostocales_Rubidibacteraceae_DactylococcopsisPCC8305_JN512465	JN512465	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Rubidibacteraceae;Dactylococcopsis
Bacteria_Oxyphotobacteria_Nostocales_Rubidibacteraceae_DactylococcopsisPCC8305_KJ176832	KJ176832	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Rubidibacteraceae;Dactylococcopsis
Bacteria_Oxyphotobacteria_Nostocales_Rubidibacteraceae_DactylococcopsisPCC8305_KU309135	KU309135	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Rubidibacteraceae;Dactylococcopsis
Bacteria_Oxyphotobacteria_Nostocales_Rubidibacteraceae_RubidibacterKORDI512_AJ000724	AJ000724	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Rubidibacteraceae;Rubidibacter
Bacteria_Oxyphotobacteria_Nostocales_Rubidibacteraceae_RubidibacterKORDI512_EF126149	EF126149	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Rubidibacteraceae;Rubidibacter
